video_title,url
华人在硅谷怎么做(不)到VP？,https://www.bilibili.com/video/BV1zM4y137h1
Influence Without Authority ｜ 职业前十年看懂这一期就够了｜人生元能力｜值得在家长群里分享的视频,https://www.bilibili.com/video/BV1tq4y1X7dj
第一性原理思考的至高境界｜Databricks联合创始人Reynold Xin访谈完整版,https://www.bilibili.com/video/BV1T9mdYwE5F
前亚马逊VP教我们职业发展｜课代表networking的案例展示,https://www.bilibili.com/video/BV1sT4216747
90%的工作都没价值？｜噪音时代，如何获取有价值的信息？｜硅谷徐老师访谈 3/3,https://www.bilibili.com/video/BV1o1421z7aC
你的坚持值得吗？｜Conviction,https://www.bilibili.com/video/BV1hW4y177ft
硕士毕业，在Facebook四年升三级(P9)是什么体验？有什么可复制的经验吗？,https://www.bilibili.com/video/BV1WA41137yW
孙煜征_我的2020,https://www.bilibili.com/video/BV13v411b78j
真诚是面试第一要义 |《虚环》主理人面试心得分享 1/3,https://www.bilibili.com/video/BV1Wh411K77L
如何自我和解，财富自由，抓住本质，活出自己，找到幸福？,https://www.bilibili.com/video/BV1sN411w7xN
如何提高自己的写作能力？,https://www.bilibili.com/video/BV1XWqBYhESu
世界模型,https://www.bilibili.com/video/BV1fgmVY8EYe
高价值工作，如何发挥最大效果？｜Go to market multiple times,https://www.bilibili.com/video/BV1S7421d71k
三十二条很重要，看不见，可控的成功要素,https://www.bilibili.com/video/BV1xc411D7DR
是什么在阻碍你提升思维能力？,https://www.bilibili.com/video/BV17W4y1p7gC
从谷歌总监到创业公司CTO，都来一遍的大佬教你怎么选？｜Fintech到底是干嘛的？｜不精致利己也能赚钱？｜投公司看哪三条？,https://www.bilibili.com/video/BV1cg411L7aX
Mike Vernal聊公司生命周期，管理，文化，创始人,https://www.bilibili.com/video/BV13D421A7ko
如何理解和创造运气？｜会员专属,https://www.bilibili.com/video/BV1NW421c7sB
2024剧变之年，如何抓住人生机会？,https://www.bilibili.com/video/BV1o5411q7u4
创梦天地创始人访谈-完整无剪辑,https://www.bilibili.com/video/BV1dV411F7Fk
转码vs科班程序员，最奇妙的样本,https://www.bilibili.com/video/BV1k84y1679E
跨赛道跳槽注意什么？｜跳槽的最佳时机？｜如何选择职业4/4,https://www.bilibili.com/video/BV1wY41177aW
